fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-14 12:30:37,2025-11-14T12:31:21,Sin sesión,,,,13,AGUA-02,,22.88,30.25,12.25,1629.0,7.23,23.0
2025-11-14 13:31:38,2025-11-14T13:32:22,Sin sesión,,,,13,AGUA-02,,23.94,33.75,12.26,1662.0,7.32,23.0
2025-11-14 14:32:36,2025-11-14T14:33:40,Sin sesión,,,,13,AGUA-02,,24.75,36.5,12.28,1693.0,7.33,23.0
2025-11-14 15:34:00,2025-11-14T15:34:44,Sin sesión,,,,13,AGUA-02,,25.62,39.0,12.3,1719.0,7.58,23.0
2025-11-14 16:34:46,2025-11-14T16:35:30,Sin sesión,,,,13,AGUA-02,,25.69,40.0,12.28,1709.0,7.72,21.0
2025-11-14 17:35:34,2025-11-14T17:36:18,Sin sesión,,,,13,AGUA-02,,26.25,39.75,12.3,1712.0,7.92,19.0
2025-11-14 18:36:15,2025-11-14T18:37:00,Sin sesión,,,,13,AGUA-02,,27.62,34.5,12.3,1716.0,8.02,24.0
2025-11-14 19:36:47,2025-11-14T19:37:31,Sin sesión,,,,13,AGUA-02,,24.94,31.25,12.3,1708.0,8.1,22.0
2025-11-14 20:37:14,2025-11-14T20:38:40,Sin sesión,,,,13,AGUA-02,,24.62,27.0,12.24,1690.0,8.14,7.0
2025-11-14 21:38:35,2025-11-14T21:39:34,Sin sesión,,,,13,AGUA-02,,24.12,24.5,12.24,1673.0,8.18,8.0
2025-11-14 22:39:42,2025-11-14T22:40:45,Sin sesión,,,,13,AGUA-02,,24.19,22.75,12.24,1657.0,8.14,22.0
2025-11-14 23:40:42,2025-11-14T23:41:35,Sin sesión,,,,13,AGUA-02,,23.81,21.0,12.24,1644.0,8.08,24.0
2025-11-15 00:41:33,2025-11-15T00:42:17,Sin sesión,,,,13,AGUA-02,,23.44,19.75,12.22,1631.0,8.04,23.0
2025-11-15 01:42:19,2025-11-15T01:43:03,Sin sesión,,,,13,AGUA-02,,23.0,19.25,12.22,1618.0,7.99,19.0
2025-11-15 02:43:08,2025-11-15T02:43:52,Sin sesión,,,,13,AGUA-02,,22.81,19.25,12.21,1613.0,8.0,20.0
2025-11-15 03:43:56,2025-11-15T03:45:17,Sin sesión,,,,13,AGUA-02,,22.44,19.25,12.2,1604.0,7.98,7.0
2025-11-15 04:45:22,2025-11-15T05:48:12,Sin sesión,,,,13,AGUA-02,,22.25,19.0,12.18,1600.0,7.97,6.0
2025-11-15 06:48:44,2025-11-15T06:49:28,Sin sesión,,,,13,AGUA-02,,21.94,19.25,12.18,1586.0,7.95,21.0
2025-11-15 07:49:34,2025-11-15T07:50:17,Sin sesión,,,,13,AGUA-02,,21.69,19.5,12.18,1579.0,7.94,23.0
2025-11-15 08:50:22,2025-11-15T08:51:06,Sin sesión,,,,13,AGUA-02,,21.5,19.75,12.18,1573.0,7.94,22.0
2025-11-15 09:51:15,2025-11-15T09:52:19,Sin sesión,,,,13,AGUA-02,,21.38,20.25,12.2,1568.0,7.96,21.0
2025-11-15 10:52:27,2025-11-15T10:53:10,Sin sesión,,,,13,AGUA-02,,20.25,21.5,12.22,1562.0,7.96,23.0
2025-11-15 11:53:23,2025-11-15T11:54:28,Sin sesión,,,,13,AGUA-02,,20.5,23.0,12.24,1558.0,7.97,22.0
2025-11-15 12:54:41,2025-11-15T13:57:44,Sin sesión,,,,13,AGUA-02,,21.25,24.5,12.24,1587.0,7.82,24.0
2025-11-15 13:56:47,2025-11-15T13:57:49,Sin sesión,,,,13,AGUA-02,,23.88,28.25,12.26,1611.0,7.63,24.0
2025-11-15 14:58:09,2025-11-15T14:58:53,Sin sesión,,,,13,AGUA-02,,23.5,33.5,12.27,1646.0,7.61,22.0
