fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (uS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-22T00:36:59,2025-11-22 02:51:21,Sin sesión,,,,13,AGUA-02,,24.31,22.5,12.2,1526.0,8.07,6.0
2025-11-22T02:39:40,2025-11-22 05:05:17,Sin sesión,,,,13,AGUA-02,,22.75,20.25,12.19,1510.0,7.96,18.0
2025-11-22T05:43:38,2025-11-22 08:12:11,Sin sesión,,,,13,AGUA-02,,21.38,18.0,12.19,1477.0,7.91,18.0
2025-11-22T07:46:27,2025-11-22 10:19:26,Sin sesión,,,,13,AGUA-02,,20.56,18.25,12.17,1460.0,7.96,9.0
2025-11-22T08:47:49,2025-11-22 11:22:47,Sin sesión,,,,13,AGUA-02,,20.19,21.5,12.19,1465.0,7.93,20.0
2025-11-22T10:51:03,2025-11-22 13:22:59,Sin sesión,,,,13,AGUA-02,,20.88,28.5,12.24,1490.0,7.92,7.0
2025-11-22T11:52:47,2025-11-22 14:21:32,Sin sesión,,,,13,AGUA-02,,23.0,30.75,12.23,1505.0,7.62,7.0
2025-11-22T12:54:07,2025-11-22 15:24:18,Sin sesión,,,,13,AGUA-02,,23.06,33.75,12.24,1529.0,6.84,21.0
2025-11-22T15:57:47,2025-11-22 18:28:57,Sin sesión,,,,13,AGUA-02,,25.38,42.25,12.29,1570.0,7.49,20.0
2025-11-22T16:58:54,2025-11-22 19:28:42,Sin sesión,,,,13,AGUA-02,,25.31,41.25,12.29,1526.0,7.77,22.0
2025-11-22T17:59:51,2025-11-22 20:29:15,Sin sesión,,,,13,AGUA-02,,25.31,43.0,12.29,1457.0,7.77,22.0
2025-11-22T19:00:28,2025-11-22 21:29:09,Sin sesión,,,,13,AGUA-02,,25.38,36.0,12.29,1426.0,7.95,23.0
2025-11-22T20:01:14,2025-11-22 22:28:40,Sin sesión,,,,13,AGUA-02,,24.06,32.25,12.27,1369.0,8.1,22.0
2025-11-22T21:02:16,2025-11-22 23:29:38,Sin sesión,,,,13,AGUA-02,,23.88,28.75,12.24,1346.0,8.16,22.0
2025-11-23T00:05:28,2025-11-23 02:39:05,Sin sesión,,,,13,AGUA-02,,23.69,21.5,12.2,1317.0,8.1,22.0
2025-11-23T01:06:36,2025-11-23 03:38:33,Sin sesión,,,,13,AGUA-02,,22.88,20.5,12.19,1310.0,8.07,8.0
2025-11-23T02:08:05,2025-11-23 04:37:53,Sin sesión,,,,13,AGUA-02,,22.5,19.75,12.2,1305.0,8.04,7.0
2025-11-23T03:09:15,2025-11-23 05:44:30,Sin sesión,,,,13,AGUA-02,,22.12,19.25,12.18,1296.0,8.03,19.0
2025-11-23T07:14:21,2025-11-23 09:45:02,Sin sesión,,,,13,AGUA-02,,21.06,19.0,12.18,1280.0,8.01,19.0
2025-11-23T08:15:31,2025-11-23 10:45:57,Sin sesión,,,,13,AGUA-02,,21.0,19.5,12.18,1275.0,8.04,19.0
2025-11-23T12:20:42,2025-11-23 12:22:03,Sin sesión,,,,13,AGUA-02,,24.06,27.5,12.24,1302.0,7.65,20.0
2025-11-23T13:21:52,2025-11-23 13:38:58,Sin sesión,,,,13,AGUA-02,,22.88,30.75,12.26,1305.0,7.38,21.0
2025-11-23T14:23:00,2025-11-23 14:55:36,Sin sesión,,,,13,AGUA-02,,23.88,33.75,12.26,1311.0,7.51,21.0
2025-11-23T15:24:11,2025-11-23 16:13:00,Sin sesión,,,,13,AGUA-02,,24.69,38.0,12.28,1309.0,7.54,23.0
2025-11-23T16:25:14,2025-11-23 17:29:37,Sin sesión,,,,13,AGUA-02,,25.06,39.0,12.3,1283.0,7.76,23.0
2025-11-23T17:26:17,2025-11-23 18:47:25,Sin sesión,,,,13,AGUA-02,,25.31,40.25,12.3,1268.0,7.85,23.0
2025-11-23T18:27:32,2025-11-23 20:04:01,Sin sesión,,,,13,AGUA-02,,25.44,36.25,12.3,1245.0,7.93,21.0
2025-11-23T19:28:06,2025-11-23 21:20:17,Sin sesión,,,,13,AGUA-02,,26.31,32.25,12.29,1216.0,8.06,22.0
2025-11-23T20:29:08,2025-11-23 22:37:35,Sin sesión,,,,13,AGUA-02,,24.25,29.0,12.26,1189.0,8.14,8.0
2025-11-24T00:34:39,2025-11-24 03:04:56,Sin sesión,,,,13,AGUA-02,,23.69,20.75,12.22,1128.0,8.07,21.0
2025-11-24T01:35:32,2025-11-24 04:04:45,Sin sesión,,,,13,AGUA-02,,23.38,20.0,12.21,1130.0,8.01,20.0
2025-11-24T04:38:31,2025-11-24 07:10:54,Sin sesión,,,,13,AGUA-02,,21.69,20.5,12.17,1125.0,7.93,19.0
2025-11-24T07:42:01,2025-11-24 10:14:13,Sin sesión,,,,13,AGUA-02,,21.06,20.25,12.18,1116.0,7.92,17.0
2025-11-24T08:43:19,2025-11-24 11:15:41,Sin sesión,,,,13,AGUA-02,,21.25,20.5,12.16,1116.0,8.0,19.0
2025-11-24T09:44:28,2025-11-24 12:14:23,Sin sesión,,,,13,AGUA-02,,20.56,21.75,12.2,1111.0,8.01,7.0
2025-11-24T10:46:09,2025-11-24 12:31:34,Sin sesión,,,,13,AGUA-02,,20.62,23.75,12.24,1109.0,8.02,5.0
2025-11-24T12:49:44,2025-11-24 12:50:27,Sin sesión,,,,13,AGUA-02,,22.5,27.5,12.24,1110.0,7.55,19.0
2025-11-24T13:50:50,2025-11-24 13:51:53,Sin sesión,,,,13,AGUA-02,,22.69,31.0,12.25,1116.0,7.39,20.0
2025-11-24T14:52:14,2025-11-24 14:52:57,Sin sesión,,,,13,AGUA-02,,23.62,35.75,12.26,1121.0,7.37,20.0
2025-11-24T15:53:14,2025-11-24 15:54:42,Sin sesión,,,,13,AGUA-02,,24.75,37.75,12.27,1127.0,7.63,7.0
2025-11-24T16:54:52,2025-11-24 16:55:54,Sin sesión,,,,13,AGUA-02,,25.06,39.25,12.27,1104.0,7.79,7.0
2025-11-24T17:56:14,2025-11-24 17:57:15,Sin sesión,,,,13,AGUA-02,,24.88,40.75,12.3,1068.0,7.83,17.0
2025-11-24T18:57:00,2025-11-24 18:57:44,Sin sesión,,,,13,AGUA-02,,26.0,33.5,12.26,1106.0,7.96,21.0
