fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,AGS SO2 [Dióxido de Azufre (SO2) (RAW)],"CO-B4 [Monóxido de Carbono (CO), RAW 1 (RAW)]","CO-B4 [Monóxido de Carbono (CO), RAW 2 (RAW)]",CWT-UR [Índice de Radiación UV (Adimensional)],CWT-UWD-SDTHAPSIR [Agua caída (Lluvia) (mm)],CWT-UWD-SDTHAPSIR [Dirección del Viento (Grados)],CWT-UWD-SDTHAPSIR [Grados celcius (°C)],CWT-UWD-SDTHAPSIR [Humedad (%)],CWT-UWD-SDTHAPSIR [Presión atmosférica (kPa)],CWT-UWD-SDTHAPSIR [Radiación Solar (W/m2)],CWT-UWD-SDTHAPSIR [Velocidad del viento (m/s)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],MH-Z19B [Dióxido de Carbono (CO2) Custom (ppm)],MH-Z19B [Dióxido de Carbono (CO2) Interno (ppm)],MH-Z19B [Dióxido de Carbono (CO2) RAW (RAW)],"NO-B4 [Óxido Nítrico (NO), RAW 1 (RAW)]","NO-B4 [Óxido Nítrico (NO), RAW 2 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 1 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 2 (RAW)]","OX-B431 [Ozono (O3), RAW 1 (RAW)]","OX-B431 [Ozono (O3), RAW 2 (RAW)]",PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],"SO2 -B4 [Dióxido de Azufre (SO2), RAW 1 (RAW)]","SO2 -B4 [Dióxido de Azufre (SO2), RAW 2 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 1 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 2 (RAW)]",ZE40B-TVOC [Compuestos orgánicos volátiles (VOC) (ug/m2)]
2025-10-15 23:40:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1860.9561,6761.0,5386.0,0.0,0.0,0.0,12.2,70.8,92.6,0.0,0.0,25.75,12.08,11419.08,547.0,37126.0,4701.0,5008.0,3785.0,3803.0,3863.0,3857.0,13.2,56.5,9.0,8.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-15 23:45:28,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.546,6841.0,5378.0,0.0,0.0,270.0,12.0,71.9,92.6,0.0,0.6,25.75,12.08,11419.08,547.0,37126.0,4664.0,5007.0,3818.0,3811.0,3904.0,3849.0,13.1,57.2,11.0,9.0,31.0,0.0,0.0,0.0,0.0,23.0
2025-10-15 23:50:28,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1860.624,6811.0,5371.0,0.0,0.0,0.0,11.8,73.6,92.6,0.0,0.0,25.75,12.08,11423.12,552.0,37120.0,4698.0,4987.0,3826.0,3803.0,3882.0,3860.0,13.1,57.5,14.0,14.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-15 23:55:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1860.46,6832.0,5345.0,0.0,0.0,319.0,11.5,75.2,92.6,0.0,0.5,25.75,12.08,11414.36,543.0,37133.0,4688.0,4975.0,3829.0,3811.0,3865.0,3848.0,13.0,57.8,14.0,11.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 00:00:42,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.203,6750.0,5359.0,0.0,0.0,0.0,11.3,77.2,92.6,0.0,0.0,25.5,12.08,11430.53,546.0,37109.0,4639.0,4965.0,3781.0,3807.0,3889.0,3853.0,12.9,58.2,14.0,13.0,31.0,0.0,0.0,0.0,0.0,23.0
2025-10-16 00:05:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1860.67,6640.0,5326.0,0.0,0.0,0.0,11.2,75.8,92.6,0.0,0.0,25.5,12.08,11429.19,542.0,37111.0,4656.0,4977.0,3847.0,3813.0,3858.0,3839.0,12.7,58.6,15.0,14.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 00:10:28,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.899,6732.0,5370.0,0.0,0.0,0.0,11.3,76.2,92.6,0.0,0.0,25.25,12.08,11434.58,550.0,37103.0,4668.0,4953.0,3826.0,3806.0,3886.0,3870.0,12.7,59.0,13.0,12.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 00:15:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1860.598,6653.0,5305.0,0.0,0.0,270.0,11.3,75.6,92.6,0.0,0.7,25.25,12.08,11427.16,540.0,37114.0,4632.0,4994.0,3811.0,3809.0,3855.0,3850.0,12.6,58.9,15.0,12.0,31.0,0.0,0.0,0.0,0.0,23.0
2025-10-16 00:20:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.8101,6643.0,5342.0,0.0,0.0,0.0,11.3,75.4,92.6,0.0,0.0,25.25,12.08,11425.82,541.0,37116.0,4642.0,5002.0,3789.0,3810.0,3883.0,3856.0,12.6,59.4,20.0,17.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 00:25:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.8621,6582.0,5313.0,0.0,0.0,0.0,11.4,75.2,92.6,0.0,0.0,25.25,12.08,11424.47,540.0,37118.0,4659.0,4939.0,3797.0,3804.0,3871.0,3854.0,12.5,58.9,19.0,18.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 00:30:28,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1860.4969,6689.0,5357.0,0.0,0.0,0.0,11.3,75.2,92.6,0.0,0.0,25.25,12.08,11415.71,527.0,37131.0,4680.0,5007.0,3837.0,3820.0,3888.0,3855.0,12.5,59.2,17.0,17.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 00:35:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1860.889,6558.0,5335.0,0.0,0.0,270.0,11.6,72.0,92.6,0.0,1.3,25.25,12.08,11423.79,536.0,37119.0,4661.0,4947.0,3798.0,3814.0,3883.0,3856.0,12.5,59.1,13.0,13.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 00:40:28,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.543,6626.0,5372.0,0.0,0.0,270.0,11.7,71.0,92.6,0.0,1.1,25.25,12.08,11410.99,523.0,37138.0,4647.0,4974.0,3789.0,3825.0,3892.0,3858.0,12.6,58.5,17.0,17.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 00:45:57,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.302,6781.0,5607.0,0.0,0.0,230.0,11.7,70.2,92.6,0.0,0.5,25.25,12.0,11417.05,529.0,37129.0,4979.0,5239.0,4051.0,4061.0,4241.0,4195.0,12.6,57.9,18.0,17.0,31.0,0.0,0.0,0.0,0.0,21.0
2025-10-16 00:50:31,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.584,6533.0,5342.0,0.0,0.0,0.0,11.6,70.6,92.6,0.0,0.0,25.25,12.04,11418.4,532.0,37127.0,4672.0,4950.0,3791.0,3808.0,3838.0,3854.0,12.6,57.7,17.0,16.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 00:55:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1860.87,6626.0,5594.0,0.0,0.0,0.0,11.5,71.0,92.6,0.0,0.0,25.25,12.0,11413.01,525.0,37135.0,4855.0,5165.0,3956.0,3987.0,4057.0,4069.0,12.6,57.6,16.0,15.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 01:00:28,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.791,6538.0,5418.0,0.0,0.0,180.0,11.4,71.7,92.6,0.0,0.5,25.25,12.08,11415.71,525.0,37131.0,4615.0,4911.0,3726.0,3771.0,3827.0,3809.0,12.6,57.6,16.0,14.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 01:05:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.121,6712.0,5579.0,0.0,0.0,0.0,11.4,71.4,92.6,0.0,0.0,25.25,12.04,11425.14,539.0,37117.0,4840.0,5123.0,3921.0,3964.0,4037.0,4030.0,12.6,57.7,15.0,15.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 01:10:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.462,6472.0,5346.0,0.0,0.0,0.0,11.6,70.4,92.6,0.0,0.0,25.25,12.08,11414.36,527.0,37133.0,4638.0,4929.0,3732.0,3773.0,3809.0,3809.0,12.6,57.8,17.0,15.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 01:15:28,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1862.149,6664.0,5577.0,0.0,0.0,270.0,11.5,71.0,92.6,0.0,0.5,25.5,12.04,11416.38,531.0,37130.0,4750.0,5086.0,3891.0,3908.0,3952.0,3953.0,12.7,57.7,12.0,12.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 01:20:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.589,6472.0,5385.0,0.0,0.0,0.0,11.3,71.8,92.6,0.0,0.0,25.5,12.08,11424.47,537.0,37118.0,4664.0,4921.0,3720.0,3764.0,3823.0,3833.0,12.6,57.7,17.0,16.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 01:25:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1860.941,6330.0,5353.0,0.0,0.0,270.0,11.3,71.2,92.6,0.0,1.0,25.25,12.04,11420.42,531.0,37124.0,4737.0,5047.0,3869.0,3795.0,3986.0,3958.0,12.6,57.9,15.0,13.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 01:30:28,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.8879,6368.0,5384.0,0.0,0.0,270.0,11.4,70.4,92.6,0.0,0.5,25.25,12.08,11429.86,544.0,37110.0,4593.0,4926.0,3726.0,3765.0,3822.0,3809.0,12.5,57.7,19.0,17.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 01:35:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.212,6235.0,5369.0,0.0,0.0,0.0,11.3,70.4,92.6,0.0,0.0,25.25,12.08,11421.77,535.0,37122.0,4628.0,4939.0,3712.0,3771.0,3764.0,3785.0,12.5,57.6,16.0,12.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-16 01:40:27,2025-10-22T15:10:22,Sin sesión,,,,12,AIRE-02,,1861.201,6256.0,5353.0,0.0,0.0,270.0,11.2,71.4,92.6,0.0,0.6,25.25,12.08,11414.36,524.0,37133.0,4592.0,4912.0,3724.0,3771.0,3798.0,3805.0,12.4,57.5,12.0,11.0,31.0,0.0,0.0,0.0,0.0,22.0
