fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-14 08:04:44,2025-11-14T08:05:27,Sin sesión,,,,13,AGUA-01,,19.06,23.25,12.39,1744.0,8.26,23.0
2025-11-14 09:05:59,2025-11-14T09:06:41,Sin sesión,,,,13,AGUA-01,,19.44,27.75,12.42,1785.0,8.08,22.0
2025-11-14 10:07:03,2025-11-14T10:07:46,Sin sesión,,,,13,AGUA-01,,20.62,34.75,12.45,1747.0,8.46,23.0
2025-11-14 11:08:02,2025-11-14T11:08:45,Sin sesión,,,,13,AGUA-01,,21.75,37.75,12.46,1782.0,8.0,25.0
2025-11-14 12:08:50,2025-11-14T12:09:33,Sin sesión,,,,13,AGUA-01,,21.25,36.75,12.46,1801.0,7.26,27.0
2025-11-14 13:09:28,2025-11-14T13:10:10,Sin sesión,,,,13,AGUA-01,,21.88,35.25,12.46,1884.0,7.37,24.0
2025-11-14 14:10:13,2025-11-14T14:10:55,Sin sesión,,,,13,AGUA-01,,22.12,35.25,12.47,1892.0,7.52,23.0
2025-11-14 15:10:58,2025-11-14T15:11:41,Sin sesión,,,,13,AGUA-01,,22.69,35.0,12.47,1960.0,7.59,25.0
2025-11-14 16:11:44,2025-11-14T16:12:26,Sin sesión,,,,13,AGUA-01,,22.81,35.0,12.47,1984.0,7.77,22.0
2025-11-14 17:12:30,2025-11-14T17:13:12,Sin sesión,,,,13,AGUA-01,,22.38,35.25,12.48,1910.0,7.98,23.0
2025-11-14 18:13:15,2025-11-14T18:13:57,Sin sesión,,,,13,AGUA-01,,22.19,34.25,12.47,1878.0,8.28,22.0
2025-11-14 19:13:55,2025-11-14T19:14:37,Sin sesión,,,,13,AGUA-01,,22.0,32.25,12.47,1863.0,8.5,24.0
2025-11-14 20:14:33,2025-11-14T20:15:15,Sin sesión,,,,13,AGUA-01,,21.31,28.5,12.46,1847.0,8.62,25.0
2025-11-14 21:15:09,2025-11-14T21:15:52,Sin sesión,,,,13,AGUA-01,,21.19,27.25,12.43,1838.0,8.62,24.0
2025-11-14 22:15:48,2025-11-14T22:16:31,Sin sesión,,,,13,AGUA-01,,20.94,24.75,12.43,1822.0,8.64,24.0
2025-11-14 23:16:27,2025-11-14T23:17:10,Sin sesión,,,,13,AGUA-01,,20.81,23.0,12.41,1825.0,8.62,25.0
2025-11-15 00:17:07,2025-11-15T00:17:49,Sin sesión,,,,13,AGUA-01,,20.69,21.5,12.39,1822.0,8.6,24.0
2025-11-15 01:17:48,2025-11-15T01:18:30,Sin sesión,,,,13,AGUA-01,,20.62,20.0,12.39,1812.0,8.55,26.0
2025-11-15 02:18:29,2025-11-15T02:19:11,Sin sesión,,,,13,AGUA-01,,20.44,18.75,12.39,1768.0,8.58,27.0
2025-11-15 03:19:11,2025-11-15T03:19:53,Sin sesión,,,,13,AGUA-01,,20.31,18.25,12.38,1801.0,8.56,25.0
2025-11-15 04:19:54,2025-11-15T04:20:37,Sin sesión,,,,13,AGUA-01,,20.19,17.75,12.38,1825.0,8.47,24.0
2025-11-15 05:20:39,2025-11-15T05:21:22,Sin sesión,,,,13,AGUA-01,,20.06,17.0,12.36,1815.0,8.46,25.0
2025-11-15 06:21:23,2025-11-15T06:22:05,Sin sesión,,,,13,AGUA-01,,19.94,16.5,12.36,1811.0,8.45,25.0
2025-11-15 07:22:10,2025-11-15T07:22:52,Sin sesión,,,,13,AGUA-01,,19.94,17.75,12.37,1817.0,8.43,24.0
2025-11-15 08:23:05,2025-11-15T08:23:48,Sin sesión,,,,13,AGUA-01,,19.81,19.75,12.39,1817.0,8.39,27.0
2025-11-15 09:23:57,2025-11-15T09:24:40,Sin sesión,,,,13,AGUA-01,,19.81,21.25,12.4,1816.0,8.35,25.0
2025-11-15 10:24:51,2025-11-15T10:25:34,Sin sesión,,,,13,AGUA-01,,19.88,23.25,12.41,1814.0,8.28,24.0
2025-11-15 11:25:52,2025-11-15T11:26:35,Sin sesión,,,,13,AGUA-01,,20.75,28.25,12.44,1830.0,7.86,24.0
2025-11-15 12:26:50,2025-11-15T12:27:33,Sin sesión,,,,13,AGUA-01,,21.25,30.5,12.44,1866.0,7.59,25.0
2025-11-15 13:27:40,2025-11-15T13:28:23,Sin sesión,,,,13,AGUA-01,,21.69,32.0,12.45,1901.0,7.04,25.0
2025-11-15 14:28:38,2025-11-15T14:29:21,Sin sesión,,,,13,AGUA-01,,22.56,34.5,12.46,1927.0,6.94,27.0
