fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-20 16:04:09,2025-11-20T16:05:12,Sin sesión,,,,13,AGUA-02,,23.0,27.25,12.24,1600.0,8.21,20.0
2025-11-20 17:05:17,2025-11-20T17:06:00,Sin sesión,,,,13,AGUA-02,,23.0,28.25,12.27,1598.0,8.26,22.0
2025-11-20 18:06:23,2025-11-20T18:07:07,Sin sesión,,,,13,AGUA-02,,23.25,32.5,12.28,1610.0,8.21,22.0
2025-11-20 19:07:08,2025-11-20T19:07:51,Sin sesión,,,,13,AGUA-02,,23.12,30.75,12.26,1604.0,8.25,22.0
2025-11-20 20:07:52,2025-11-20T20:08:36,Sin sesión,,,,13,AGUA-02,,23.19,28.5,12.25,1596.0,8.3,20.0
2025-11-20 21:08:25,2025-11-20T21:09:55,Sin sesión,,,,13,AGUA-02,,22.75,25.25,12.24,1578.0,8.31,7.0
2025-11-20 22:09:49,2025-11-20T22:10:51,Sin sesión,,,,13,AGUA-02,,22.12,23.25,12.23,1562.0,8.22,4.0
2025-11-20 23:10:51,2025-11-20T23:11:52,Sin sesión,,,,13,AGUA-02,,22.44,21.75,12.24,1551.0,8.18,6.0
2025-11-21 00:12:04,2025-11-21T00:13:18,Sin sesión,,,,13,AGUA-02,,21.88,20.5,12.22,1540.0,8.13,21.0
2025-11-21 01:13:19,2025-11-21T01:14:02,Sin sesión,,,,13,AGUA-02,,21.56,19.75,12.2,1529.0,8.09,18.0
2025-11-21 02:14:04,2025-11-21T02:15:29,Sin sesión,,,,13,AGUA-02,,21.06,19.0,12.2,1516.0,8.05,7.0
2025-11-21 03:15:32,2025-11-21T03:16:26,Sin sesión,,,,13,AGUA-02,,20.56,18.25,12.18,1501.0,8.03,7.0
2025-11-21 04:16:40,2025-11-21T04:17:24,Sin sesión,,,,13,AGUA-02,,20.19,17.75,12.19,1491.0,8.06,22.0
2025-11-21 05:17:25,2025-11-21T05:18:29,Sin sesión,,,,13,AGUA-02,,20.12,17.0,12.18,1489.0,8.06,19.0
2025-11-21 06:18:32,2025-11-21T06:19:35,Sin sesión,,,,13,AGUA-02,,19.94,17.0,12.17,1483.0,8.06,18.0
2025-11-21 07:19:39,2025-11-21T07:21:06,Sin sesión,,,,13,AGUA-02,,19.62,16.75,12.17,1475.0,8.1,9.0
2025-11-21 08:21:17,2025-11-21T08:22:12,Sin sesión,,,,13,AGUA-02,,19.5,19.0,12.18,1468.0,8.05,7.0
2025-11-21 09:22:43,2025-11-21T09:23:26,Sin sesión,,,,13,AGUA-02,,19.75,23.0,12.2,1494.0,7.98,21.0
2025-11-21 10:23:47,2025-11-21T10:24:30,Sin sesión,,,,13,AGUA-02,,21.81,26.5,12.22,1514.0,7.72,19.0
2025-11-21 11:24:45,2025-11-21T11:25:28,Sin sesión,,,,13,AGUA-02,,20.69,29.0,12.23,1526.0,7.97,21.0
2025-11-21 12:25:43,2025-11-21T12:26:26,Sin sesión,,,,13,AGUA-02,,22.5,31.75,12.24,1567.0,7.1,20.0
2025-11-21 13:26:43,2025-11-21T13:27:36,Sin sesión,,,,13,AGUA-02,,23.81,35.75,12.24,1610.0,6.91,19.0
2025-11-21 15:29:05,2025-11-21T15:31:16,Sin sesión,,,,13,AGUA-02,,25.88,41.75,12.27,1674.0,7.41,21.0
2025-11-21 16:30:11,2025-11-21T16:43:12,Sin sesión,,,,13,AGUA-02,,26.62,42.5,12.29,1678.0,7.69,23.0
2025-11-21 17:31:05,2025-11-21T17:56:27,Sin sesión,,,,13,AGUA-02,,26.38,44.0,12.31,1657.0,7.76,22.0
2025-11-21 18:32:12,2025-11-21T19:12:50,Sin sesión,,,,13,AGUA-02,,26.38,39.0,12.3,1634.0,7.91,22.0
2025-11-21 19:32:44,2025-11-21T20:27:53,Sin sesión,,,,13,AGUA-02,,27.94,34.75,12.27,1613.0,8.07,20.0
2025-11-21 20:33:25,2025-11-21T21:45:05,Sin sesión,,,,13,AGUA-02,,24.94,31.5,12.26,1586.0,8.21,21.0
2025-11-21 21:34:33,2025-11-21T23:01:30,Sin sesión,,,,13,AGUA-02,,24.5,28.25,12.24,1567.0,8.21,21.0
2025-11-21 22:35:19,2025-11-22T00:17:06,Sin sesión,,,,13,AGUA-02,,23.94,25.25,12.24,1552.0,8.16,19.0
2025-11-21 23:36:06,2025-11-22T01:33:34,Sin sesión,,,,13,AGUA-02,,24.62,23.75,12.22,1536.0,8.12,22.0
2025-11-22 00:36:59,2025-11-22T02:51:21,Sin sesión,,,,13,AGUA-02,,24.31,22.5,12.2,1526.0,8.07,6.0
2025-11-22 02:39:40,2025-11-22T05:05:17,Sin sesión,,,,13,AGUA-02,,22.75,20.25,12.19,1510.0,7.96,18.0
2025-11-22 05:43:38,2025-11-22T08:12:11,Sin sesión,,,,13,AGUA-02,,21.38,18.0,12.19,1477.0,7.91,18.0
2025-11-22 07:46:27,2025-11-22T10:19:26,Sin sesión,,,,13,AGUA-02,,20.56,18.25,12.17,1460.0,7.96,9.0
2025-11-22 08:47:49,2025-11-22T11:22:47,Sin sesión,,,,13,AGUA-02,,20.19,21.5,12.19,1465.0,7.93,20.0
2025-11-22 10:51:03,2025-11-22T13:22:59,Sin sesión,,,,13,AGUA-02,,20.88,28.5,12.24,1490.0,7.92,7.0
2025-11-22 11:52:47,2025-11-22T14:21:32,Sin sesión,,,,13,AGUA-02,,23.0,30.75,12.23,1505.0,7.62,7.0
2025-11-22 12:54:07,2025-11-22T15:24:18,Sin sesión,,,,13,AGUA-02,,23.06,33.75,12.24,1529.0,6.84,21.0
2025-11-22 15:57:47,2025-11-22T18:28:57,Sin sesión,,,,13,AGUA-02,,25.38,42.25,12.29,1570.0,7.49,20.0
2025-11-22 16:58:54,2025-11-22T19:28:42,Sin sesión,,,,13,AGUA-02,,25.31,41.25,12.29,1526.0,7.77,22.0
2025-11-22 17:59:51,2025-11-22T20:29:15,Sin sesión,,,,13,AGUA-02,,25.31,43.0,12.29,1457.0,7.77,22.0
2025-11-22 19:00:28,2025-11-22T21:29:09,Sin sesión,,,,13,AGUA-02,,25.38,36.0,12.29,1426.0,7.95,23.0
2025-11-22 20:01:14,2025-11-22T22:28:40,Sin sesión,,,,13,AGUA-02,,24.06,32.25,12.27,1369.0,8.1,22.0
2025-11-22 21:02:16,2025-11-22T23:29:38,Sin sesión,,,,13,AGUA-02,,23.88,28.75,12.24,1346.0,8.16,22.0
2025-11-23 00:05:28,2025-11-23T02:39:05,Sin sesión,,,,13,AGUA-02,,23.69,21.5,12.2,1317.0,8.1,22.0
2025-11-23 01:06:36,2025-11-23T03:38:33,Sin sesión,,,,13,AGUA-02,,22.88,20.5,12.19,1310.0,8.07,8.0
2025-11-23 02:08:05,2025-11-23T04:37:53,Sin sesión,,,,13,AGUA-02,,22.5,19.75,12.2,1305.0,8.04,7.0
2025-11-23 03:09:15,2025-11-23T05:44:30,Sin sesión,,,,13,AGUA-02,,22.12,19.25,12.18,1296.0,8.03,19.0
2025-11-23 07:14:21,2025-11-23T09:45:02,Sin sesión,,,,13,AGUA-02,,21.06,19.0,12.18,1280.0,8.01,19.0
2025-11-23 08:15:31,2025-11-23T10:45:57,Sin sesión,,,,13,AGUA-02,,21.0,19.5,12.18,1275.0,8.04,19.0
2025-11-23 12:20:42,2025-11-23T12:22:03,Sin sesión,,,,13,AGUA-02,,24.06,27.5,12.24,1302.0,7.65,20.0
2025-11-23 13:21:52,2025-11-23T13:38:58,Sin sesión,,,,13,AGUA-02,,22.88,30.75,12.26,1305.0,7.38,21.0
2025-11-23 14:23:00,2025-11-23T14:55:36,Sin sesión,,,,13,AGUA-02,,23.88,33.75,12.26,1311.0,7.51,21.0
2025-11-23 15:24:11,2025-11-23T16:13:00,Sin sesión,,,,13,AGUA-02,,24.69,38.0,12.28,1309.0,7.54,23.0
2025-11-23 16:25:14,2025-11-23T17:29:37,Sin sesión,,,,13,AGUA-02,,25.06,39.0,12.3,1283.0,7.76,23.0
2025-11-23 17:26:17,2025-11-23T18:47:25,Sin sesión,,,,13,AGUA-02,,25.31,40.25,12.3,1268.0,7.85,23.0
2025-11-23 18:27:32,2025-11-23T20:04:01,Sin sesión,,,,13,AGUA-02,,25.44,36.25,12.3,1245.0,7.93,21.0
2025-11-23 19:28:06,2025-11-23T21:20:17,Sin sesión,,,,13,AGUA-02,,26.31,32.25,12.29,1216.0,8.06,22.0
2025-11-23 20:29:08,2025-11-23T22:37:35,Sin sesión,,,,13,AGUA-02,,24.25,29.0,12.26,1189.0,8.14,8.0
2025-11-24 00:34:39,2025-11-24T03:04:56,Sin sesión,,,,13,AGUA-02,,23.69,20.75,12.22,1128.0,8.07,21.0
2025-11-24 01:35:32,2025-11-24T04:04:45,Sin sesión,,,,13,AGUA-02,,23.38,20.0,12.21,1130.0,8.01,20.0
2025-11-24 04:38:31,2025-11-24T07:10:54,Sin sesión,,,,13,AGUA-02,,21.69,20.5,12.17,1125.0,7.93,19.0
2025-11-24 07:42:01,2025-11-24T10:14:13,Sin sesión,,,,13,AGUA-02,,21.06,20.25,12.18,1116.0,7.92,17.0
2025-11-24 08:43:19,2025-11-24T11:15:41,Sin sesión,,,,13,AGUA-02,,21.25,20.5,12.16,1116.0,8.0,19.0
2025-11-24 09:44:28,2025-11-24T12:14:23,Sin sesión,,,,13,AGUA-02,,20.56,21.75,12.2,1111.0,8.01,7.0
2025-11-24 10:46:09,2025-11-24T12:31:34,Sin sesión,,,,13,AGUA-02,,20.62,23.75,12.24,1109.0,8.02,5.0
2025-11-24 12:49:44,2025-11-24T12:50:27,Sin sesión,,,,13,AGUA-02,,22.5,27.5,12.24,1110.0,7.55,19.0
2025-11-24 13:50:50,2025-11-24T13:51:53,Sin sesión,,,,13,AGUA-02,,22.69,31.0,12.25,1116.0,7.39,20.0
2025-11-24 14:52:14,2025-11-24T14:52:57,Sin sesión,,,,13,AGUA-02,,23.62,35.75,12.26,1121.0,7.37,20.0
2025-11-24 15:53:14,2025-11-24T15:54:42,Sin sesión,,,,13,AGUA-02,,24.75,37.75,12.27,1127.0,7.63,7.0
2025-11-24 16:54:52,2025-11-24T16:55:54,Sin sesión,,,,13,AGUA-02,,25.06,39.25,12.27,1104.0,7.79,7.0
2025-11-24 17:56:14,2025-11-24T17:57:15,Sin sesión,,,,13,AGUA-02,,24.88,40.75,12.3,1068.0,7.83,17.0
2025-11-24 18:57:00,2025-11-24T18:57:44,Sin sesión,,,,13,AGUA-02,,26.0,33.5,12.26,1106.0,7.96,21.0
2025-11-24 19:57:36,2025-11-24T19:58:28,Sin sesión,,,,13,AGUA-02,,23.62,29.75,12.28,1075.0,8.11,20.0
2025-11-25 00:03:21,2025-11-25T00:04:04,Sin sesión,,,,13,AGUA-02,,23.56,21.5,12.2,979.3,8.08,21.0
2025-11-25 01:04:06,2025-11-25T01:04:50,Sin sesión,,,,13,AGUA-02,,22.31,21.5,12.2,972.5,8.02,20.0
2025-11-25 02:04:58,2025-11-25T02:05:41,Sin sesión,,,,13,AGUA-02,,22.0,21.75,12.21,968.3,7.98,21.0
2025-11-25 03:05:46,2025-11-25T04:08:32,Sin sesión,,,,13,AGUA-02,,21.62,21.75,12.19,964.3,7.96,7.0
2025-11-25 05:08:53,2025-11-25T05:09:40,Sin sesión,,,,13,AGUA-02,,21.75,21.25,12.18,959.9,7.97,18.0
2025-11-25 06:09:45,2025-11-25T06:10:37,Sin sesión,,,,13,AGUA-02,,21.75,21.25,12.18,958.2,7.95,20.0
2025-11-25 07:10:43,2025-11-25T07:11:26,Sin sesión,,,,13,AGUA-02,,20.81,21.5,12.18,959.1,7.94,19.0
2025-11-25 08:11:33,2025-11-25T08:12:36,Sin sesión,,,,13,AGUA-02,,20.69,21.75,12.17,959.6,7.97,19.0
2025-11-25 09:12:44,2025-11-25T09:13:47,Sin sesión,,,,13,AGUA-02,,20.88,22.25,12.18,961.4,7.97,19.0
2025-11-25 10:13:56,2025-11-25T10:14:39,Sin sesión,,,,13,AGUA-02,,20.81,23.0,12.2,960.8,7.98,21.0
